display,name_kr,name_en,ticker,type,enabled,aliases
한국정보통신,한국정보통신,,025770.KQ,company,1,
선익시스템,선익시스템,,171090.KQ,company,1,
한국정밀기계,한국정밀기계,,101680.KQ,company,1,
금화피에스시,금화피에스시,,036190.KQ,company,1,
풍산,풍산,,103140.KS,company,1,
삼성전기,삼성전기,,009150.KS,company,1,
하이트진로홀딩스,하이트진로홀딩스,,000140.KS,company,1,
이노션,이노션,,214320.KS,company,1,
파인엠텍,파인엠텍,,441270.KQ,company,1,
LF,LF,,093050.KS,company,1,
SG세계물산,SG세계물산,,004060.KS,company,1,
유니퀘스트,유니퀘스트,,077500.KS,company,1,
동아화성,동아화성,,041930.KQ,company,1,
유엔젤,유엔젤,,072130.KS,company,1,
경동도시가스,경동도시가스,,267290.KS,company,1,
경인전자,경인전자,,009140.KS,company,1,
에스씨디,에스씨디,,042110.KQ,company,1,
나노엔텍,나노엔텍,,039860.KQ,company,1,
정상제이엘에스,정상제이엘에스,,040420.KQ,company,1,
미스터블루,미스터블루,,207760.KQ,company,1,
이노진,이노진,,344860.KQ,company,1,
갤럭시아머니트리,갤럭시아머니트리,,094480.KQ,company,1,
부스타,부스타,,008470.KQ,company,1,
케이에스피,케이에스피,,073010.KQ,company,1,
피에이치에이,피에이치에이,,043370.KQ,company,1,
경동인베스트,경동인베스트,,012320.KS,company,1,
아가방컴퍼니,아가방컴퍼니,,013990.KQ,company,1,
파워로직스,파워로직스,,047310.KQ,company,1,
성우테크론,성우테크론,,045300.KQ,company,1,
국순당,국순당,,043650.KQ,company,1,
삼일기업공사,삼일기업공사,,002290.KQ,company,1,
태원물산,태원물산,,001420.KS,company,1,
네오티스,네오티스,,085910.KQ,company,1,
SK가스,SK가스,,018670.KS,company,1,
더네이쳐홀딩스,더네이쳐홀딩스,,298540.KQ,company,1,
한국주강,한국주강,,025890.KS,company,1,
와이솔,와이솔,,122990.KQ,company,1,
디아이씨,디아이씨,,092200.KS,company,1,
서원인텍,서원인텍,,093920.KQ,company,1,
효성티앤씨,효성티앤씨,,298020.KS,company,1,
LG헬로비전,LG헬로비전,,037560.KS,company,1,
대덕전자,대덕전자,,353200.KS,company,1,
에이엔피,에이엔피,,015260.KS,company,1,
아세아,아세아,,002030.KS,company,1,
성우전자,성우전자,,081580.KQ,company,1,
한네트,한네트,,052600.KQ,company,1,
대원화성,대원화성,,024890.KS,company,1,
안랩,안랩,,053800.KQ,company,1,
코메론,코메론,,049430.KQ,company,1,
현대로템,현대로템,,064350.KS,company,1,
금강공업,금강공업,,014280.KS,company,1,
대신증권,대신증권,,003540.KS,company,1,
효성화학,효성화학,,298000.KS,company,1,
원익머트리얼즈,원익머트리얼즈,,104830.KQ,company,1,
DB손해보험,DB손해보험,,005830.KS,company,1,
인탑스,인탑스,,049070.KQ,company,1,
벽산,벽산,,007210.KS,company,1,
패션플랫폼,패션플랫폼,,225590.KQ,company,1,
라닉스,라닉스,,317120.KQ,company,1,
아이앤씨,아이앤씨,,052860.KQ,company,1,
메지온,메지온,,140410.KQ,company,1,
한국콜마,한국콜마,,161890.KS,company,1,
원익,원익,,032940.KQ,company,1,
우리로,우리로,,046970.KQ,company,1,
우리산업,우리산업,,215360.KQ,company,1,
롯데관광개발,롯데관광개발,,032350.KS,company,1,
하츠,하츠,,066130.KQ,company,1,
아나패스,아나패스,,123860.KQ,company,1,
삼화전기,삼화전기,,009470.KS,company,1,
현대코퍼레이션,현대코퍼레이션,,011760.KS,company,1,
포메탈,포메탈,,119500.KQ,company,1,
